CONTROL	GUT	IMMMUNE
AAGAB	2347	2903	3122
ABCA7	1826	525	299
ACTN1	74	71	324
ACTR2	241	692	186
ADA	1850	708	817
ADAD1	19820	20550	17151.5
ADAM15	531	568	774
ADO	1110	4638	2973
AHRR	7172	5080	1603
AHSA2	442	548	657
AIRE	7972	13752	11104
AMT	1065	1219	835
ANKMY1	8167	7529	5689
ANKRD55	8297	12168	1074
AOC2	4775	9885	3814
AOC3	100	190	2109
AP1M2	9905	687	5868.5
AP2S1	469	494	417
AP4B1	2722	4601	3436
APEH	706	877	853
APOBR	1467	551	131
AQP12A	15523	14655	20627.5
AQP12B	13975	17072	18563
ARCN1	525	876	666
ARFRP1	2603	3009	2444
ARHGEF2	1021	1831	1221
ARIH2	642	1830	2979
ARL5C	16985.5	21790	17098
ARMC5	1803	3900	3322
ASCC2	1337	951	312
ASCL5	7229	16635	17274
ASH1L	1945	3790	4597
ASIC2	4983	17251	17541
ATF6	2671	4445	1511
ATG16L1	2274	3566	2168
ATG4D	1258	1653	1730
ATG5	3193	4251	4217
ATP2A1	21	3145	324
ATP5D	101	226	255
ATP6V0A1	301	1547	1423
ATP6V1F	147	336	304
ATRIP	6467	7821	6537
ATXN2L	316	363	498
B3GNT2	849	2130	323
B4GALT5	315	883	531
BACH2	5697	8951	7469
BANK1	7152	1165	1183
BCAT2	532	647	2568
BCKDK	767	1170	730
BCL2L15	11233	1220	5247
BCL7C	2493	3866	3321
BCL9L	1402	2419	3412
BECN1	1365	1296	1763
BSN	1309	17571	12985
C11orf30	5431	7555	5937
C11orf71	13230	18442	11436
C15orf53	16819	20762	15414
C16orf93	1758	7459	3513
C19orf26	1566	8959	7447
C1orf106	11885	1523	4468
C1orf141	8169	23482.5	18898.5
C1orf53	5431	8627	4335
C20orf195	12683.5	13880	10173
C20orf62	13324	20624.5	13924
C21orf2	1727	2364	2045
C21orf33	211	325	301
C3orf18	1099	2507	6293
C3orf62	7063	7183	1056
C3orf84	19120	23407	19189.5
C5orf47	16179	22085	14223
C6orf58	16059	3122	17066.5
C6orf99	15581	11082	12595
C7orf71	18961	20732	12605.5
C7orf72	16096	24715.5	18954
C9orf163	13368	14079	12884
CA11	50	1344	3904
CABP7	824	11473	14990.5
CACNA1S	241	15218	3919
CACNA2D2	2553	6039	5309
CACNB1	388	7257	3823
CALM3	12	217	207
CAMKV	72	16869	10224
CAMSAP2	1174	4622	4099
CAMTA1	1883	6779	8798
CAPN10	2653	3225	1908
CARD6	3918	3784	1089
CARD9	5646	8845	3032
CASC3	383	715	399
CAST	235	431	895
CCDC101	851	1919	1282
CCDC116	12569	14457	13313
CCDC122	12008	13157	12626
CCDC157	8127	12518	7864
CCDC36	12387	13161	10206
CCDC51	4331	3607	3905
CCDC71	3576	3009	3044
CCL1	17909	19858.5	9309
CCL11	680	768	11586
CCL13	221	982	10154
CCL2	25	65	253
CCL7	3714	7419	7035
CCL8	1104	2841	11070
CCNI2	6841	7716	1133
CCNY	936	1905	1200
CCR10	6306	3379	2288
CCR6	14958	4441	1447
CD19	8866	171	263
CD226	9599	15261	421
CD244	4990	10175	782
CD40	1057	1248	264
CD48	2078	876	124
CD5	8612	2494	452
CD6	7080	1269	520
CDC37	277	369	270
CDH1	3534	403	1841
CDH22	1261	11535	16668
CDH3	5186	570	5147
CDHR4	6844	14574	17441
CDK12	5725	6153	3036
CDKAL1	5060	9067	6627
CDKN2D	461	2349	164
CELSR3	1566	12965	10079
CENPW	3451	1593	1584
CEP192	3706	6028	3496
CEP72	9065	10933	7546
CEP76	9033	10735	10009
CISD1	963	1664	3862
CISH	311	2316	503
CLEC16A	3305	4875	4069
CLK2	1377	919	834
CLN3	8035	3340	2695
CNN2	538	436	104
CNTD1	13538	3386	12523
CNTNAP1	351	472	1890
COA3	459	224	544
COASY	1436	640	974
COL7A1	1242	573	2831
COX6A2	22	38	96
CPEB4	1046	2661	2201
CRB1	6782	22577	17599
CREB5	2576	5815	629
CREM	838	4561	1408
CSF2	14226	10468	11927
CSF3	68	686	3801
CTF1	2332	2723	7178
CUL2	2320	4820	3721
CXCR5	13574	12394	7533
CYB561D2	2489	1198	1125
CYLD	1305	3311	1914
DACT3	510	1108	8168
DAG1	578	991	2076
DALRD3	2357	2249	1862
DAP3	882	1454	1358
DBP	1443	1529	1505
DCLRE1B	6719	8068	5747
DCST1	11475	14265	12014
DCST2	6118	7430	9724
DCTN4	1228	3163	2617
DCTPP1	1432	748	684
DDX6	1153	2088	641
DENND1B	7000	7792	7921
DGKD	177	395	1051
DHX58	1329	2258	1010
DLD	251	403	1349
DNLZ	1332	2162	2620
DNMT3L	16665	20017	3248
DOCK3	1598	5504	13662
DOK6	3023	12874	12151
DPM3	1370	966	1274
DPP4	909	923	3127
DUSP12	2939	4807	3545
DUSP28	3167	8199	6207
DYNC2LI1	3402	7420	5933
DYRK3	4246	5887	6189
E2F3	1828	6288	2614
EBF1	1125	3990	3847
EEF1A2	18	47	222
EFNA1	734	442	78
EFNA3	8779.5	4528	9270
EFNA4	6930	2213	4243
EGR2	560	2691	1027
EIF2D	1897	1467	1025
ENOX1	5918	5404	12765.5
ERAP1	1838	2969	832
ERAP2	2998	2636	1145
ERBB2	637	447	2379
ERRFI1	47	42	115
EVX1	17375	13148	19581
EXOC3	1589	1719	1720
EZH1	199	1041	1045
EZR	199	112	253
F11R	13702.5	13678.5	9517
FAIM3	1878	197	229
FAM134C	2098	1739	1885
FAM189B	2210	2023	3837
FAM212A	2468	2434.5	3944.5
FAM213B	3423	4181	5918
FAM83E	16370	607	15316
FAM98B	4309	7388	4327
FAP	1730	5214	9108
FASLG	13266	11241	4122
FBRS	1768	839	576
FBXL19	1621	3148	3432
FBXL20	7120	9224	4100
FBXO18	1987	2492	2040
FBXW12	16502.5	15844	17304
FCGR2A	887	3927	60
FCGR2B	1405	2242	1058
FCGR2C	1634	2982.5	1743
FCGR3A	154	2280	108
FCGR3B	773	4508	7
FCRLA	8057	1443	428
FCRLB	7951	13748	7996
FDPS	919	246	471
FGF21	8014	15534.5	377
FGFR1OP	4968	6567	3840
FKRP	4626	5457	5752
FLAD1	3565	3870	4130
FLNC	12	51	1458
FNDC1	2334	2886	12489
FOXR1	19134	23405	15128
FUS	127	281	213
FUT1	3568	492	7299
FUT2	10114	1409	15222
FYN	613	1740	747
FZD8	2119	2951.5	2982
GALC	2514	5994	3205
GATSL3	5314	3504	6686
GBA	2824	2459	689
GCA	1413	3419	42
GCG	8999	438	12442
GDF9	11650	7692	13344
GHDC	2547	3144	1851
GJD4	12788	20811	15622
GLS	594	1615	803
GMEB2	4582	5063	2562
GNAI2	333	542	180
GNAT1	14629	19520	15948
GNG8	1357	9359	3886
GNPDA1	2248	3891	1798
GON4L	4421	5815	4204
GOT1	72	154	88
GPR183	291	767	214
GPR25	18199.5	10785	6998
GPR31	20698.5	19914	19085
GPR35	5595	748	2839
GPR65	6064	4175	1330
GPSM1	1626	5626	6081
GPX1	100	254	39
GPX3	1	7	33
GPX4	63	316	210
GRB7	2239	596	2780
GSDMA	6758	5023	8266
GSDMB	416	487	500
HCN3	2072	5554	9713
HCRT	32	20503.5	12209
HELZ2	1543	3248	1196
HEMK1	3891	3124	2814
HES5	2176	12237	8530
HIC2	7421	7753	8695
HIPK1	1383	2636	943
HMHA1	2612	372	245
HNF4A	11903	829	666
HORMAD2	17084	23120	9836
HOXA1	13296	8118	9259
HOXA10	1300	1743	9953
HOXA11	1504	1541	16332
HOXA13	9406	4021	18140
HOXA2	1815	6543	8382
HOXA3	4641	3612	10769
HOXA4	8755	5158	14270
HOXA5	894.5	1562	4413
HOXA6	8040	3631	16395
HOXA7	3685	3086	12355
HOXA9	10418.5	11094	13615
HSD17B1	4580	8247	6284
HSD17B14	1363	1665	481
HSD3B7	669	1474	143
HSPA6	30	489	29
HSPB9	10845	12860	5616
HYAL1	1028	1383	478
HYAL2	159	457	69
HYAL3	6248	7500.5	3001.5
ICAM1	187	432	152
ICAM3	2256	1070	64
ICAM4	6301	11438	3049
ICAM5	581	11504	5634
ICOSLG	2135	5359	3207
IFIH1	890	3381	967
IFNG	7177	12301	793
IFRD2	484	579	794
IFT46	2133	4666	5486
IKZF1	6948	2803	1291
IKZF3	11471	7009	1378
IL10	2393	6876	1943
IL12B	19756	22459	7826
IL12RB2	3096	12856	2409
IL13	10469	16844	11348
IL15RA	2009	3526	2223
IL18R1	2235	4601	333
IL18RAP	2786	5459	99
IL19	20382	2053	13074
IL1R1	360	505	686
IL1RL1	468	575	1649
IL1RL2	10328	5881	8543
IL2	16612	16616.5	14930
IL20	9512	14006	11193
IL21	19934	17138	14480
IL23R	17617	17035	6482
IL24	1532	1401	620
IL27	6799	10974	1399
IL2RA	4988	4326	1746
IL3	17203	22935.5	18967.5
IL4	17051	20394	8568
IL5	14853	19020	15552
IMPDH2	154	250	215
INPP5D	2091	417	374
INPP5E	2410	2401	1838
INSL4	16100	16924	20161.5
INSL6	17650	20654	12541
IP6K1	1137	2175	1254
IP6K2	477	1103	1868
IPMK	4696	6361	3032
IQCH	13633	16350	16067.5
IRF1	429	457	214
IRF5	2089	2015	481
