Chrom	Start	End	GeneID	GeneName
1	34090	80008	79501	OR4F5
1	826120	889961	148398	SAMD11
1	860966	911099	339451	KLHL17
1	866876	920484	84069	PLEKHN1
1	869582	929679	26155	NOC2L
1	900578	952497	84808	PERM1
1	913846	959919	9636	ISG15
1	920502	1001499	375790	AGRN
1	924341	970552	57801	HES4
1	997125	1044687	401934	RNF223
1	1007197	1086736	54991	C1orf159
1	1074285	1143313	254173	TTLL10
1	1128887	1177089	8784	TNFRSF18
1	1132628	1180420	126792	B3GALT6
1	1136705	1184548	7293	TNFRSF4
1	1142287	1202447	51150	SDF4
1	1167825	1217102	388581	FAM132A
1	1179291	1244234	118424	UBE2J2
1	1180815	1237409	6339	SCNN1D
1	1208993	1257057	126789	PUSL1
1	1217763	1278269	116983	ACAP3
1	1225142	1274276	80772	CPTP
1	1231725	1279844	83756	TAS1R3
1	1236964	1295067	54973	CPSF3L
1	1260657	1319492	1855	DVL1
1	1278068	1333921	54587	MXRA8
1	1299109	1345818	54998	AURKAIP1
1	1311090	1369718	81669	CCNL2
1	1326507	1373167	643965	TMEM88B
1	1327275	1377693	55052	MRPL20
1	1335902	1388262	64856	VWA1
1	1343799	1391824	441869	ANKRD65
1	1350068	1415538	219293	ATAD3C
1	1372163	1441582	83858	ATAD3B
1	1412522	1480067	55210	ATAD3A
1	1460157	1510740	339453	TMEM240
1	1467052	1545262	29101	SSU72
1	1515794	1575990	142678	MIB2
1	1523387	1570476	643988	C1orf233
1	1532559	1580030	8510	MMP23B
1	1560602	1690859	984	CDK11B
1	1582938	1659243	728661	SLC35E2B
1	1624169	1690791	728642	CDK11A
1	1646276	1712438	9906	SLC35E2
1	1672670	1746508	65220	NADK
1	1706723	1857556	2782	GNB1
1	1811265	1858733	163688	CALML6
1	1839028	1885740	339456	TMEM52
1	1843389	1970276	85452	CFAP74
1	1915767	1972192	2563	GABRD
1	1946908	2126834	5590	PRKCZ
1	2105898	2179159	199990	C1orf86
1	2125133	2251652	6497	SKI
1	2242691	2358190	79906	MORN1
1	2288213	2346885	11079	RER1
1	2326240	2379010	5192	PEX10
1	2363897	2446969	9651	PLCH2
1	2429969	2493067	55229	PANK4
1	2450183	2496684	388585	HES5
1	2452803	2507061	8764	TNFRSF14
1	2483188	2532908	127281	FAM213B
1	2512080	2599481	79258	MMEL1
1	2562806	2741230	100287898	TTC34
1	2903045	2949467	140625	ACTRT2
1	2950741	3365185	63976	PRDM16
1	3336146	3407677	27237	ARHGEF16
1	3394505	3563059	1953	MEGF6
1	3506555	3556694	127262	TPRG1L
1	3534128	3662765	7161	TP73
1	3537330	3601671	49856	WRAP73
1	3633964	3698209	148870	CCDC27
1	3654324	3702546	388588	SMIM1
1	3686783	3748068	57470	LRRC47
1	3718644	3808797	9731	CEP104
1	3738830	3811993	1677	DFFB
1	3795696	3851857	339448	C1orf174
1	4680104	4853851	55966	AJAP1
1	5912867	6087533	261734	NPHP4
1	6017357	6171253	8514	KCNAB2
1	6151846	6275194	26038	CHD5
