HD	signal	chr	start	end
1	1	1	1	2470681	2514575
2	2	1	1	7969507	8188805
3	4	1	1	20163440	20227723
4	4	2	1	20141528	20145999
5	4	3	1	20133810	20138436
6	7	1	1	67684934	67743552
7	7	2	1	67667876	67687064
8	7	3	1	67651946	67756095
9	7	4	1	67579736	67636010
10	7	5	1	67595108	67662430
11	10	2	1	114303808	114377568
12	14	1	1	155065981	155142927
13	15	1	1	160837622	160919496
14	16	1	1	161463601	161479745
15	17	1	1	172803959	172870991
16	21	1	1	197342380	197822994
17	22	1	1	200874229	201020105
18	23	1	1	206939904	206968955
19	23	2	1	206960216	206969339
20	28	1	2	43451957	43864089
21	29	1	2	61186829	61231014
22	30	1	2	62550524	62575443
23	31	1	2	65635872	65693513
24	35	1	2	102925223	102984671
25	36	1	2	163124637	163132346
26	38	1	2	191907655	191972789
27	39	1	2	199519513	199607372
28	39	2	2	199489760	199581514
29	42	1	2	231091223	231187167
30	43	1	2	234143048	234208258
31	44	1	2	241574401	241579108
32	45	1	3	18710631	18825669
33	50	1	3	49385417	49731861
34	50	3	3	48475755	50365232
35	56	1	4	102865304	103112470
36	60	1	5	40320006	40440063
37	60	2	5	40237018	40285970
38	60	3	5	40486896	40498577
39	61	1	5	55444683	55444683
40	62	1	5	72515051	72559339
41	63	1	5	96200770	96373750
42	65	1	5	131559199	131833599
43	66	1	5	141489027	141543989
44	67	1	5	150169843	150338714
45	69	1	5	158826792	158856513
46	69	2	5	158764177	158824510
47	71	1	5	173269669	173392398
48	73	1	6	20624034	20728731
49	73	2	6	20623084	20726035
50	76	1	6	90949196	90985296
51	77	1	6	106463881	106502632
52	77	2	6	106484790	106530330
53	78	1	6	111605584	111933215
54	79	1	6	127413222	127461682
55	80	1	6	128217774	128339699
56	81	1	6	137959235	138006504
57	81	2	6	138159432	138166068
58	81	3	6	137962133	138023048
59	82	1	6	159470452	159514389
60	83	1	6	167360389	167454434
61	84	1	7	26694926	26911904
62	85	1	7	28172732	28214300
63	87	1	7	50257634	50323459
64	87	2	7	50200277	50237496
65	87	3	7	50304782	50304782
66	91	1	7	107478227	107583626
67	91	2	7	107435187	107458062
68	92	1	7	128567032	128581835
69	98	1	8	126529074	126541090
70	100	1	8	129496054	129590818
71	102	1	9	4980756	4984530
72	104	1	9	117547772	117654990
73	104	2	9	117645562	117697947
74	104	3	9	117560960	117692251
75	106	1	9	139257147	139328722
76	106	2	9	139256577	139259592
77	106	3	9	139369212	139405093
78	107	1	10	6061479	6124261
79	107	2	10	6038478	6125322
80	109	1	10	30790264	30808324
81	110	1	10	35256960	35554054
82	112	1	10	59901559	60061246
83	113	1	10	64387108	64441204
84	113	2	10	64342847	64377503
85	113	3	10	64379326	64381668
86	114	1	10	81032885	81067040
87	116	1	10	101274058	101320120
88	116	2	10	101271789	101295863
89	120	1	11	60776209	60789643
90	121	1	11	76270683	76302073
91	122	1	11	114323972	114447782
92	123	1	11	118754353	118754353
93	123	2	11	118761879	118798154
94	129	1	12	40388109	40828306
95	129	2	12	40695791	40726647
96	132	1	12	68476749	68508276
97	136	1	13	27530715	27543781
98	138	1	13	44406102	44490181
99	139	1	13	99988491	100055399
100	142	1	14	88404343	88506864
101	145	1	15	38835105	38925195
102	146	1	15	67441750	67468285
103	146	2	15	67457698	67457698
104	149	1	16	11344903	11443183
105	150	1	16	28338039	28631585
106	151	1	16	30469919	30512443
107	152	1	16	50763781	50763781
108	152	2	16	50745926	50790158
109	152	3	16	50719743	50827809
110	152	4	16	50710462	50877524
111	152	5	16	50746294	50809536
112	152	6	16	50660145	50683706
113	152	7	16	50745114	50746199
114	152	8	16	50663477	50663477
115	152	9	16	50744688	50744688
116	152	10	16	50750810	50794300
117	157	1	17	25843643	25869033
118	158	1	17	32567679	32625383
119	159	1	17	37903731	38089973
120	161	1	17	40451363	40546652
121	162	1	18	12774326	12886441
122	165	1	19	1106477	1127981
123	165	2	19	1172570	1191682
124	166	1	19	10475760	10587129
125	166	2	19	10427721	10492274
126	166	3	19	10568883	10600418
127	169	1	19	49168942	49248730
128	171	1	20	43065028	43065028
129	171	2	20	43258079	43258079
130	173	1	20	44680853	44749251
131	175	1	20	62298404	62337406
132	176	1	21	16804330	16841303
133	176	2	21	16781136	16827565
134	177	1	21	40458722	40468838
135	179	1	21	45611686	45633388
136	180	1	22	21910280	21997591
137	181	1	22	30113900	30590222
138	184	1	22	39659773	39737810
139	184	2	22	39662550	39738243
