HD	region	gene
1	1	chr1:2.41-2.79	PLCH2
2	1	chr1:2.41-2.79	PANK4
3	1	chr1:2.41-2.79	TNFRSF14
4	1	chr1:2.41-2.79	FAM213B
5	1	chr1:2.41-2.79	MMEL1
6	1	chr1:2.41-2.79	HES5
7	1	chr1:2.41-2.79	TTC34
8	2	chr1:7.74-8.21	PER3
9	2	chr1:7.74-8.21	UTS2
10	2	chr1:7.74-8.21	CAMTA1
11	2	chr1:7.74-8.21	VAMP3
12	2	chr1:7.74-8.21	ERRFI1
13	2	chr1:7.74-8.21	TNFRSF9
14	2	chr1:7.74-8.21	PARK7
15	4	chr1:20.15-20.25	PLA2G2E
16	4	chr1:20.15-20.25	PLA2G2A
17	4	chr1:20.15-20.25	OTUD3
18	4	chr1:20.15-20.25	RNF186
19	4	chr1:20.15-20.25	TMCO4
20	7	chr1:67.59-67.94	IL23R
21	7	chr1:67.59-67.94	IL12RB2
22	7	chr1:67.59-67.94	SERBP1
23	7	chr1:67.59-67.94	C1orf141
24	10	chr1:113.86-114.53	PTPN22
25	10	chr1:113.86-114.53	HIPK1
26	10	chr1:113.86-114.53	MAGI3
27	10	chr1:113.86-114.53	AP4B1
28	10	chr1:113.86-114.53	OLFML3
29	10	chr1:113.86-114.53	BCL2L15
30	10	chr1:113.86-114.53	DCLRE1B
31	10	chr1:113.86-114.53	PHTF1
32	10	chr1:113.86-114.53	RSBN1
33	14	chr1:155.02-156.05	MUC1
34	14	chr1:155.02-156.05	HCN3
35	14	chr1:155.02-156.05	DPM3
36	14	chr1:155.02-156.05	GON4L
37	14	chr1:155.02-156.05	CLK2
38	14	chr1:155.02-156.05	ASH1L
39	14	chr1:155.02-156.05	TRIM46
40	14	chr1:155.02-156.05	SSR2
41	14	chr1:155.02-156.05	UBQLN4
42	14	chr1:155.02-156.05	SCAMP3
43	14	chr1:155.02-156.05	GBA
44	14	chr1:155.02-156.05	EFNA4
45	14	chr1:155.02-156.05	ARHGEF2
46	14	chr1:155.02-156.05	ADAM15
47	14	chr1:155.02-156.05	SLC50A1
48	14	chr1:155.02-156.05	DCST1
49	14	chr1:155.02-156.05	FAM189B
50	14	chr1:155.02-156.05	LMNA
51	14	chr1:155.02-156.05	RUSC1
52	14	chr1:155.02-156.05	EFNA1
53	14	chr1:155.02-156.05	DAP3
54	14	chr1:155.02-156.05	FDPS
55	14	chr1:155.02-156.05	KIAA0907
56	14	chr1:155.02-156.05	THBS3
57	14	chr1:155.02-156.05	ZBTB7B
58	14	chr1:155.02-156.05	MTX1
59	14	chr1:155.02-156.05	RXFP4
60	14	chr1:155.02-156.05	MEX3A
61	14	chr1:155.02-156.05	LAMTOR2
62	14	chr1:155.02-156.05	YY1AP1
63	14	chr1:155.02-156.05	PKLR
64	14	chr1:155.02-156.05	RIT1
65	14	chr1:155.02-156.05	KRTCAP2
66	14	chr1:155.02-156.05	MSTO1
