HD	signal	chr	start	end
1	1	1	1	2432331	2752265
2	2	1	1	7913029	8189392
3	4	1	1	20161088	20238343
4	4	2	1	20141528	20145999
5	4	3	1	20110838	20138436
6	7	1	1	67684934	67743552
7	7	2	1	67638004	67704107
8	7	3	1	67651946	67756095
9	7	4	1	67579736	67907036
10	7	5	1	67595108	67674962
11	10	2	1	114173410	114426001
12	14	1	1	155053719	155197462
13	15	1	1	160837622	160927045
14	16	1	1	161444369	161479745
15	17	1	1	172803959	172870991
16	21	1	1	197342380	197827444
17	22	1	1	200864267	201025850
18	23	1	1	206933517	206994725
19	23	2	1	206945311	206969339
20	28	1	2	43449385	43907630
21	29	1	2	61183882	61231014
22	30	1	2	62549284	62631672
23	31	1	2	65556324	65709177
24	35	1	2	102917234	103092503
25	36	1	2	162992004	163373152
26	38	1	2	191898949	191972789
27	39	1	2	199480665	199607372
28	39	2	2	199489760	199606360
29	42	1	2	231083171	231187167
30	43	1	2	234143048	234250482
31	44	1	2	241574401	241588985
32	45	1	3	18690567	18825669
33	50	1	3	49322027	49731861
34	50	3	3	48388360	51095279
35	56	1	4	102702364	103112470
36	60	1	5	40319919	40482599
37	60	2	5	40237018	40285970
38	60	3	5	40442869	40623346
39	61	1	5	55436851	55444683
40	62	1	5	72502029	72571215
41	63	1	5	96200770	96373750
42	65	1	5	131390614	131833599
43	66	1	5	141435466	141553294
44	67	1	5	150169843	150338714
45	69	1	5	158826792	158856513
46	69	2	5	158759900	158824510
47	71	1	5	173269669	173399325
48	73	1	6	20624034	20728731
49	73	2	6	20623084	20726035
50	76	1	6	90949196	90985296
51	77	1	6	106449085	106503692
52	77	2	6	106484790	106530330
53	78	1	6	111447269	111942781
54	79	1	6	127413222	127461682
55	80	1	6	128215237	128339699
56	81	1	6	137959235	138006504
57	81	2	6	138150539	138234085
58	81	3	6	137962133	138023048
59	82	1	6	159355078	159515206
60	83	1	6	167359558	167523395
61	84	1	7	26694926	26911904
62	85	1	7	28142088	28239466
63	87	1	7	50257634	50333463
64	87	2	7	50200277	50237496
65	87	3	7	50246714	50304782
66	91	1	7	107476870	107584780
67	91	2	7	107433210	107458062
68	92	1	7	128567032	128681297
69	98	1	8	126528004	126568355
70	100	1	8	129492753	129594340
71	102	1	9	4961260	5233557
72	104	1	9	117538334	117654990
73	104	2	9	117607260	117697947
74	104	3	9	117533511	117699335
75	106	1	9	139249520	139387676
76	106	2	9	139256577	139259592
77	106	3	9	139321545	139405093
78	107	1	10	6048112	6126320
79	107	2	10	6038478	6151262
80	109	1	10	30751171	30808324
81	110	1	10	35256960	35555867
82	112	1	10	59866430	60079516
83	113	1	10	64387108	64498948
84	113	2	10	64342847	64425126
85	113	3	10	64379326	64381668
86	114	1	10	81032532	81067480
87	116	1	10	101271789	101322423
88	116	2	10	101271789	101324436
89	120	1	11	60760530	60826076
90	121	1	11	76245562	76302073
91	122	1	11	114286669	114450529
92	123	1	11	118754353	118766356
93	123	2	11	118761879	118810054
94	129	1	12	40383142	40878163
95	129	2	12	40658255	40822659
96	132	1	12	68469642	68508353
97	136	1	13	27525461	27559635
98	138	1	13	44389479	44535063
99	139	1	13	99988491	100064765
100	142	1	14	88404343	88555675
101	145	1	15	38820606	38939085
102	146	1	15	67437863	67468285
103	146	2	15	67457698	67457698
104	149	1	16	11334059	11455993
105	150	1	16	28338039	28944396
106	151	1	16	30450383	30514723
107	152	1	16	50763781	50763781
108	152	2	16	50745926	50790158
109	152	3	16	50665522	50842066
110	152	4	16	50710462	50877524
111	152	5	16	50746294	50809536
112	152	6	16	50660145	50694011
113	152	7	16	50745114	50746199
114	152	8	16	50642364	50749487
115	152	9	16	50744688	50744688
116	152	10	16	50750810	50794300
117	157	1	17	25843643	25869033
118	158	1	17	32514229	32640025
119	159	1	17	37886986	38119638
120	161	1	17	40395206	40565035
121	162	1	18	12745889	12886441
122	165	1	19	1105621	1141714
123	165	2	19	1171020	1191682
124	166	1	19	10423338	10619302
125	166	2	19	10397230	10596988
126	166	3	19	10440898	10600418
127	169	1	19	49103447	49259529
128	171	1	20	43064782	43065028
129	171	2	20	43190372	43258079
130	173	1	20	44673546	44749251
131	175	1	20	62273435	62376939
132	176	1	21	16710161	16841303
133	176	2	21	16781136	16838662
134	177	1	21	40458722	40468838
135	179	1	21	45611686	45639368
136	180	1	22	21910280	21999292
137	181	1	22	30040113	30590222
138	184	1	22	39659088	39737810
139	184	2	22	39662550	39756650
